lottery,draw_number,draw_date,n1,n2,n3,n4,n5,n6,bonus,source,source_url,retrieved_at,content_hash
LOTO6,512,2010-09-02,14,20,23,25,33,39,34,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,513,2010-09-09,1,6,12,14,15,19,18,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,514,2010-09-16,6,7,14,15,19,41,31,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,515,2010-09-23,2,3,23,25,33,35,34,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,516,2010-09-30,2,14,16,17,29,30,10,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,517,2010-10-07,6,10,13,14,28,37,39,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,518,2010-10-14,14,31,34,35,40,42,25,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,519,2010-10-21,1,13,25,29,30,33,35,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,520,2010-10-28,2,4,12,14,26,43,40,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,521,2010-11-04,1,8,15,21,23,30,33,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,522,2010-11-11,3,6,16,23,25,43,37,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,523,2010-11-18,7,8,26,27,41,43,16,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,524,2010-11-25,7,11,14,18,35,40,43,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,525,2010-12-02,1,11,17,28,33,38,20,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,526,2010-12-09,8,14,18,19,26,27,23,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,527,2010-12-16,5,7,12,23,39,41,9,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,528,2010-12-23,2,5,12,21,28,32,41,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,529,2010-12-30,6,19,21,24,31,41,7,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,530,2011-01-06,1,10,19,30,33,36,35,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,531,2011-01-13,5,12,16,24,26,33,8,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,532,2011-01-20,23,28,33,35,37,42,4,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,533,2011-01-27,6,16,24,31,41,43,7,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,534,2011-02-03,1,2,19,22,26,37,43,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,535,2011-02-10,6,14,23,24,27,32,11,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,536,2011-02-17,4,10,12,14,23,36,2,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,537,2011-02-24,10,18,22,24,26,37,12,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,538,2011-03-03,2,11,14,23,26,33,28,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,539,2011-03-10,3,10,13,17,18,28,24,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
