lottery,draw_number,draw_date,n1,n2,n3,n4,n5,n6,bonus,source,source_url,retrieved_at,content_hash
MINI_LOTO,572,2010-07-27,1,6,18,23,29,,21,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,573,2010-08-03,15,21,22,23,29,,5,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,574,2010-08-10,3,7,8,13,15,,25,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,575,2010-08-17,10,16,20,21,27,,24,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,576,2010-08-24,6,8,10,21,23,,18,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,577,2010-08-31,5,10,21,24,25,,13,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,578,2010-09-07,5,11,16,19,30,,18,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,579,2010-09-14,1,4,15,17,23,,8,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,580,2010-09-21,1,4,14,15,26,,18,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,581,2010-09-28,2,6,12,14,30,,3,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,582,2010-10-05,3,14,22,24,30,,10,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,583,2010-10-12,1,3,10,11,16,,24,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,584,2010-10-19,6,9,11,14,22,,29,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,585,2010-10-26,14,19,23,24,31,,29,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,586,2010-11-02,1,5,6,10,15,,2,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
